nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Remo com Barra no Punho,antebraco,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/remo-com-barra-no-punho.gif,true
Barbell Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/barbell-curl.gif,true
Bayesian Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/bayesian-curl.gif,true
Bicep Curl Machine,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/bicep-curl-machine.gif,true
Biceps Concentrado Unilateral no Cross,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/biceps-concentrado-unilateral-no-cross.gif,true
Biceps Polia Alta Dupla,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/biceps-polia-alta-dupla.gif,true
Biceps Unilateral Cross,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/biceps-unilateral-cross.gif,true
Biceps Unilateral Polia Alta Cross,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/biceps-unilateral-polia-alta-cross.gif,true
Biceps Unilateral com Banco Scort no Cross,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/biceps-unilateral-com-banco-scort-no-cross.gif,true
Cable Bicep Curl,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/cable-bicep-curl.gif,true
Cable One Arm Curl,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/cable-one-arm-curl.gif,true
Cable Preacher Curl,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/cable-preacher-curl.gif,true
Cross Body Hammer Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/cross-body-hammer-curl.gif,true
Dumbbell Bicep Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-bicep-curl.gif,true
Dumbbell Hammer Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-hammer-curl.gif,true
